Loan_ID;Gender;Education;Self_Employed;Credit_History;Married;Dependents;Property_Area;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Loan_Status
LP001003;Male;True;False;True;True;1;Rural;4583;1508.0;128.0;360.0;False
LP001014;Male;True;False;False;True;3+;Semiurban;3036;2504.0;158.0;360.0;False
LP001020;Male;True;False;True;True;1;Semiurban;12841;10968.0;349.0;360.0;False
LP001029;Male;True;False;True;False;0;Rural;1853;2840.0;114.0;360.0;False
LP001036;Female;True;False;False;False;0;Urban;3510;;76.0;360.0;False
LP001038;Male;False;False;True;True;0;Rural;4887;;133.0;360.0;False
LP001043;Male;False;False;False;True;0;Urban;7660;;104.0;360.0;False
LP001047;Male;False;False;False;True;0;Semiurban;2600;1911.0;116.0;360.0;False
LP001050;;False;False;False;True;2;Rural;3365;1917.0;112.0;360.0;False
LP001052;Male;True;;;True;1;Semiurban;3717;2925.0;151.0;360.0;False
LP001086;Male;False;False;True;False;0;Urban;1442;;35.0;360.0;False
LP001091;Male;True;;;True;1;Urban;4166;3369.0;201.0;360.0;False
LP001095;Male;True;False;True;False;0;Urban;3167;;74.0;360.0;False
LP001097;Male;True;True;True;False;1;Rural;4692;;106.0;360.0;False
LP001100;Male;True;False;True;False;3+;Rural;12500;3000.0;320.0;360.0;False
LP001119;Male;True;False;True;False;0;Urban;3600;;80.0;360.0;False
LP001146;Female;True;False;False;True;0;Urban;2645;3440.0;120.0;360.0;False
LP001164;Female;True;False;True;False;0;Semiurban;4230;;112.0;360.0;False
LP001179;Male;True;False;True;True;2;Urban;4616;;134.0;360.0;False
LP001186;Female;True;True;False;True;1;Urban;11500;;286.0;360.0;False
LP001197;Male;True;False;True;True;0;Rural;3366;2200.0;135.0;360.0;False
LP001207;Male;False;True;False;True;0;Rural;2609;3449.0;165.0;180.0;False
LP001222;Female;True;False;False;False;0;Semiurban;4166;;116.0;360.0;False
LP001225;Male;True;False;True;True;0;Semiurban;5726;4595.0;258.0;360.0;False
LP001228;Male;False;False;False;False;0;Urban;3200;2254.0;126.0;180.0;False
LP001241;Female;True;False;False;False;0;Semiurban;4300;;136.0;360.0;False
LP001255;Male;True;False;True;False;0;Urban;3750;;113.0;480.0;False
LP001256;Male;True;False;True;False;0;Urban;3750;4750.0;176.0;360.0;False
LP001259;Male;True;True;True;True;1;Urban;1000;3022.0;110.0;360.0;False
LP001263;Male;True;False;False;True;3+;Semiurban;3167;4000.0;180.0;300.0;False
LP001267;Female;True;False;True;True;2;Urban;1378;1881.0;167.0;360.0;False
LP001273;Male;True;False;;True;0;Semiurban;6000;2250.0;265.0;360.0;False
LP001370;Male;False;;True;False;0;Rural;7333;;120.0;360.0;False
LP001379;Male;True;False;False;True;2;Urban;3800;3600.0;216.0;360.0;False
LP001421;Male;True;False;True;True;0;Rural;5568;2142.0;175.0;360.0;False
LP001451;Male;True;True;False;True;1;Urban;10513;3850.0;160.0;180.0;False
LP001465;Male;True;False;;True;0;Rural;6080;2569.0;182.0;360.0;False
LP001488;Male;True;False;True;True;3+;Semiurban;4000;7750.0;290.0;360.0;False
LP001489;Female;True;False;True;True;0;Rural;4583;;84.0;360.0;False
LP001492;Male;True;False;False;False;0;Semiurban;14999;;242.0;360.0;False
LP001493;Male;False;False;True;True;2;Rural;4200;1430.0;129.0;360.0;False
LP001497;Male;True;False;True;True;2;Rural;5042;2083.0;185.0;360.0;False
LP001519;Female;True;False;True;False;0;Rural;10000;1666.0;225.0;360.0;False
LP001528;Male;True;False;False;False;0;Rural;6277;;118.0;360.0;False
LP001531;Male;True;False;True;False;0;Urban;9166;;244.0;360.0;False
LP001532;Male;False;False;True;True;2;Rural;2281;;113.0;360.0;False
LP001562;Male;True;False;True;True;0;Urban;7933;;275.0;360.0;False
LP001565;Male;True;False;False;True;1;Semiurban;3089;1280.0;121.0;360.0;False
LP001577;Female;True;False;True;True;0;Rural;4583;;112.0;360.0;False
LP001579;Male;True;False;False;False;0;Semiurban;2237;;63.0;480.0;False
LP001586;Male;False;False;True;True;3+;Rural;3522;;81.0;180.0;False
LP001603;Male;False;True;True;True;0;Semiurban;4344;736.0;87.0;360.0;False
LP001610;Male;True;False;False;True;3+;Semiurban;5516;11300.0;495.0;360.0;False
LP001630;Male;False;False;False;False;0;Urban;2333;1451.0;102.0;480.0;False
LP001633;Male;True;False;False;True;1;Urban;6400;7250.0;180.0;360.0;False
LP001634;Male;True;False;;False;0;Rural;1916;5063.0;67.0;360.0;False
LP001637;Male;True;False;True;True;1;Semiurban;33846;;260.0;360.0;False
LP001641;Male;True;True;False;True;1;Rural;2178;;66.0;300.0;False
LP001656;Male;True;False;True;False;0;Semiurban;12000;;164.0;360.0;False
LP001657;Male;False;False;True;True;0;Urban;6033;;160.0;360.0;False
LP001665;Male;True;False;True;True;1;Semiurban;3125;2583.0;170.0;360.0;False
LP001673;Male;True;True;True;False;0;Urban;11000;;83.0;360.0;False
LP001702;Male;True;False;True;False;0;Semiurban;3418;;127.0;360.0;False
LP001708;Female;True;False;True;False;0;Semiurban;10000;;214.0;360.0;False
LP001711;Male;True;False;False;True;3+;Semiurban;3430;1250.0;128.0;360.0;False
LP001722;Male;True;False;True;True;0;Rural;150;1800.0;135.0;360.0;False
LP001732;Male;True;;False;True;2;Semiurban;5000;;72.0;360.0;False
LP001736;Male;True;False;False;True;0;Urban;2221;;60.0;360.0;False
LP001751;Male;True;False;True;True;0;Rural;3250;;170.0;360.0;False
LP001754;Male;False;True;True;True;;Urban;4735;;138.0;360.0;False
LP001786;Male;True;;;True;0;Urban;5746;;255.0;360.0;False
LP001800;Male;False;False;True;True;1;Urban;2510;1983.0;140.0;180.0;False
LP001813;Male;True;True;True;False;0;Urban;6050;4333.0;120.0;180.0;False
LP001835;Male;False;False;False;True;0;Semiurban;1668;3890.0;201.0;360.0;False
LP001836;Female;True;False;True;False;2;Urban;3427;;138.0;360.0;False
LP001844;Male;True;True;False;False;0;Urban;16250;;192.0;360.0;False
