Loan_ID;Gender;Education;Self_Employed;Credit_History;Married;Dependents;Property_Area;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Loan_Status
LP001003;Male;True;False;True;True;1;Rural;4583;1508.0;128.0;360.0;False
LP001005;Male;True;True;True;True;0;Urban;3000;0.0;66.0;360.0;True
LP001006;Male;False;False;True;True;0;Urban;2583;2358.0;120.0;360.0;True
LP001008;Male;True;False;True;False;0;Urban;6000;0.0;141.0;360.0;True
LP001011;Male;True;True;True;True;2;Urban;5417;4196.0;267.0;360.0;True
LP001013;Male;False;False;True;True;0;Urban;2333;1516.0;95.0;360.0;True
LP001014;Male;True;False;False;True;3+;Semiurban;3036;2504.0;158.0;360.0;False
LP001018;Male;True;False;True;True;2;Urban;4006;1526.0;168.0;360.0;True
LP001020;Male;True;False;True;True;1;Semiurban;12841;10968.0;349.0;360.0;False
LP001024;Male;True;False;True;True;2;Urban;3200;700.0;70.0;360.0;True
LP001027;Male;True;;True;True;2;Urban;2500;1840.0;109.0;360.0;True
LP001028;Male;True;False;True;True;2;Urban;3073;8106.0;200.0;360.0;True
LP001029;Male;True;False;True;False;0;Rural;1853;2840.0;114.0;360.0;False
LP001030;Male;True;False;True;True;2;Urban;1299;1086.0;17.0;120.0;True
LP001032;Male;True;False;True;False;0;Urban;4950;0.0;125.0;360.0;True
LP001034;Male;False;False;;False;1;Urban;3596;0.0;100.0;240.0;True
LP001036;Female;True;False;False;False;0;Urban;3510;0.0;76.0;360.0;False
LP001038;Male;False;False;True;True;0;Rural;4887;0.0;133.0;360.0;False
LP001043;Male;False;False;False;True;0;Urban;7660;0.0;104.0;360.0;False
LP001046;Male;True;False;True;True;1;Urban;5955;5625.0;315.0;360.0;True
LP001047;Male;False;False;False;True;0;Semiurban;2600;1911.0;116.0;360.0;False
LP001050;;False;False;False;True;2;Rural;3365;1917.0;112.0;360.0;False
LP001052;Male;True;;;True;1;Semiurban;3717;2925.0;151.0;360.0;False
LP001066;Male;True;True;True;True;0;Semiurban;9560;0.0;191.0;360.0;True
LP001068;Male;True;False;True;True;0;Semiurban;2799;2253.0;122.0;360.0;True
LP001073;Male;False;False;True;True;2;Urban;4226;1040.0;110.0;360.0;True
LP001086;Male;False;False;True;False;0;Urban;1442;0.0;35.0;360.0;False
LP001087;Female;True;;True;False;2;Semiurban;3750;2083.0;120.0;360.0;True
LP001091;Male;True;;;True;1;Urban;4166;3369.0;201.0;360.0;False
LP001095;Male;True;False;True;False;0;Urban;3167;0.0;74.0;360.0;False
LP001097;Male;True;True;True;False;1;Rural;4692;0.0;106.0;360.0;False
LP001098;Male;True;False;True;True;0;Semiurban;3500;1667.0;114.0;360.0;True
LP001100;Male;True;False;True;False;3+;Rural;12500;3000.0;320.0;360.0;False
LP001112;Female;True;False;True;True;0;Semiurban;3667;1459.0;144.0;360.0;True
LP001114;Male;True;False;True;False;0;Urban;4166;7210.0;184.0;360.0;True
LP001116;Male;False;False;True;False;0;Semiurban;3748;1668.0;110.0;360.0;True
LP001119;Male;True;False;True;False;0;Urban;3600;0.0;80.0;360.0;False
LP001120;Male;True;False;True;False;0;Urban;1800;1213.0;47.0;360.0;True
LP001123;Male;True;False;;True;0;Urban;2400;0.0;75.0;360.0;True
LP001131;Male;True;False;True;True;0;Semiurban;3941;2336.0;134.0;360.0;True
LP001138;Male;True;False;True;True;1;Urban;5649;0.0;44.0;360.0;True
LP001144;Male;True;False;True;True;0;Urban;5821;0.0;144.0;360.0;True
LP001146;Female;True;False;False;True;0;Urban;2645;3440.0;120.0;360.0;False
LP001151;Female;True;False;True;False;0;Semiurban;4000;2275.0;144.0;360.0;True
LP001155;Female;False;False;True;True;0;Semiurban;1928;1644.0;100.0;360.0;True
LP001157;Female;True;False;True;False;0;Semiurban;3086;0.0;120.0;360.0;True
LP001164;Female;True;False;True;False;0;Semiurban;4230;0.0;112.0;360.0;False
LP001179;Male;True;False;True;True;2;Urban;4616;0.0;134.0;360.0;False
LP001186;Female;True;True;False;True;1;Urban;11500;0.0;286.0;360.0;False
LP001194;Male;True;False;True;True;2;Semiurban;2708;1167.0;97.0;360.0;True
LP001195;Male;True;False;True;True;0;Semiurban;2132;1591.0;96.0;360.0;True
LP001197;Male;True;False;True;True;0;Rural;3366;2200.0;135.0;360.0;False
LP001198;Male;True;False;True;True;1;Urban;8080;2250.0;180.0;360.0;True
LP001199;Male;False;False;True;True;2;Urban;3357;2859.0;144.0;360.0;True
LP001205;Male;True;False;True;True;0;Urban;2500;3796.0;120.0;360.0;True
LP001206;Male;True;False;True;True;3+;Urban;3029;0.0;99.0;360.0;True
LP001207;Male;False;True;False;True;0;Rural;2609;3449.0;165.0;180.0;False
LP001222;Female;True;False;False;False;0;Semiurban;4166;0.0;116.0;360.0;False
LP001225;Male;True;False;True;True;0;Semiurban;5726;4595.0;258.0;360.0;False
LP001228;Male;False;False;False;False;0;Urban;3200;2254.0;126.0;180.0;False
LP001233;Male;True;False;True;True;1;Urban;10750;0.0;312.0;360.0;True
LP001238;Male;False;True;True;True;3+;Urban;7100;0.0;125.0;60.0;True
LP001241;Female;True;False;False;False;0;Semiurban;4300;0.0;136.0;360.0;False
LP001243;Male;True;False;True;True;0;Urban;3208;3066.0;172.0;360.0;True
LP001245;Male;False;True;True;True;2;Semiurban;1875;1875.0;97.0;360.0;True
LP001248;Male;True;False;True;False;0;Semiurban;3500;0.0;81.0;300.0;True
LP001253;Male;True;True;True;True;3+;Semiurban;5266;1774.0;187.0;360.0;True
LP001255;Male;True;False;True;False;0;Urban;3750;0.0;113.0;480.0;False
LP001256;Male;True;False;True;False;0;Urban;3750;4750.0;176.0;360.0;False
LP001259;Male;True;True;True;True;1;Urban;1000;3022.0;110.0;360.0;False
LP001263;Male;True;False;False;True;3+;Semiurban;3167;4000.0;180.0;300.0;False
LP001264;Male;False;True;;True;3+;Semiurban;3333;2166.0;130.0;360.0;True
LP001265;Female;True;False;True;False;0;Semiurban;3846;0.0;111.0;360.0;True
LP001267;Female;True;False;True;True;2;Urban;1378;1881.0;167.0;360.0;False
LP001273;Male;True;False;;True;0;Semiurban;6000;2250.0;265.0;360.0;False
LP001275;Male;True;False;True;True;1;Urban;3988;0.0;50.0;240.0;True
LP001279;Male;True;False;True;False;0;Semiurban;2366;2531.0;136.0;360.0;True
LP001280;Male;False;False;;True;2;Semiurban;3333;2000.0;99.0;360.0;True
LP001282;Male;True;False;True;True;0;Semiurban;2500;2118.0;104.0;360.0;True
LP001289;Male;True;False;True;False;0;Urban;8566;0.0;210.0;360.0;True
LP001310;Male;True;False;True;True;0;Semiurban;5695;4167.0;175.0;360.0;True
LP001316;Male;True;False;True;True;0;Semiurban;2958;2900.0;131.0;360.0;True
LP001318;Male;True;False;True;True;2;Semiurban;6250;5654.0;188.0;180.0;True
LP001319;Male;False;False;True;True;2;Urban;3273;1820.0;81.0;360.0;True
LP001322;Male;True;False;True;False;0;Semiurban;4133;0.0;122.0;360.0;True
LP001325;Male;False;False;True;False;0;Semiurban;3620;0.0;25.0;120.0;True
LP001327;Female;True;False;True;True;0;Semiurban;2484;2302.0;137.0;360.0;True
LP001333;Male;True;False;True;True;0;Semiurban;1977;997.0;50.0;360.0;True
